Ville;Latitude;Longitude;Date;weathercode;Temps_Label;temperature_2m_max;temperature_2m_min
Le Mans;48.0;0.19;27/09/2026;5;SOLEIL VOILÉ;26.2;13.1
Le Mans;48.0;0.19;28/09/2026;6;AVERSES;23.4;15.6
Le Mans;48.0;0.19;29/09/2026;2;NUAGEUX;27.9;17.1
Mamers;48.35;0.37;25/09/2026;0;SOLEIL;31.1;12.6
Mamers;48.35;0.37;26/09/2026;2;NUAGEUX;23.9;13.7
Mamers;48.35;0.37;27/09/2026;5;SOLEIL VOILÉ;26.4;12.2
Mamers;48.35;0.37;28/09/2026;6;AVERSES;22.1;15.1
Mamers;48.35;0.37;29/09/2026;2;NUAGEUX;26.2;16.4
Challans;46.84;-1.88;25/09/2026;0;SOLEIL;31.4;14.6
Challans;46.84;-1.88;26/09/2026;0;SOLEIL;25.1;13.1
Challans;46.84;-1.88;27/09/2026;5;SOLEIL VOILÉ;25.1;12.9
Challans;46.84;-1.88;28/09/2026;6;AVERSES;24.1;16.4
Challans;46.84;-1.88;29/09/2026;2;NUAGEUX;25.2;18.4
Fontenay-le-Comte;46.46;-0.8;25/09/2026;0;SOLEIL;32.1;15.4
Fontenay-le-Comte;46.46;-0.8;26/09/2026;0;SOLEIL;25.6;16
Fontenay-le-Comte;46.46;-0.8;27/09/2026;5;SOLEIL VOILÉ;27;12.6
Fontenay-le-Comte;46.46;-0.8;28/09/2026;6;AVERSES;26.1;16.6
Fontenay-le-Comte;46.46;-0.8;29/09/2026;2;NUAGEUX;28.2;18.6
La Roche-sur-Yon;46.67;-1.42;25/09/2026;0;SOLEIL;30.1;16.6
La Roche-sur-Yon;46.67;-1.42;26/09/2026;0;SOLEIL;23.5;15.1
La Roche-sur-Yon;46.67;-1.42;27/09/2026;5;SOLEIL VOILÉ;24.4;13.1
La Roche-sur-Yon;46.67;-1.42;28/09/2026;6;AVERSES;24.6;16.6
La Roche-sur-Yon;46.67;-1.42;29/09/2026;2;NUAGEUX;26.4;18.7
La Tranche-sur-Mer;46.34;-1.43;25/09/2026;0;SOLEIL;24.1;15.1
La Tranche-sur-Mer;46.34;-1.43;26/09/2026;0;SOLEIL;23;15.7
La Tranche-sur-Mer;46.34;-1.43;27/09/2026;5;SOLEIL VOILÉ;22.2;14.2
La Tranche-sur-Mer;46.34;-1.43;28/09/2026;7;PLUIE FAIBLE;24.7;17.1
La Tranche-sur-Mer;46.34;-1.43;29/09/2026;2;NUAGEUX;26.6;19.4
